AgeGroup,Gender,SocialMediaHours,UsageDuringStudy,FocusReduction,Procrastination,CheckingDuringStudy,CourseworkDistraction,TimeManagementDifficulty,NotificationDisruption,Multitasking,TimeLost,StudyDelay,UsageLimitation,AcademicImpact,ProductivityWithoutSM,MostUsedPlatform,BreakFrequency,ProductivityImpact
18–24,Female ,More than 3 hours ,Often ,Significantly ,Always ,Always ,Significantly ,Significantly ,Often ,Often ,Often ,Always ,Often ,Sometimes ,Significantly ,Facebook ,Often ,Significantly 
Below 18,Male ,More than 3 hours ,Always ,Moderately ,Always ,Always ,Moderately ,Significantly ,Sometimes ,Sometimes ,Always ,Always ,Sometimes ,Often ,Moderately ,Instagram ,Always ,Slightly 
18–24,Male ,1–3 hours ,Often ,Slightly ,Often ,Often ,Slightly ,Significantly ,Often ,Sometimes ,Often ,Sometimes ,Sometimes ,Sometimes ,Slightly ,Facebook ,Often ,Slightly 
18–24,Female ,More than 3 hours ,Often ,Significantly ,Always ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Sometimes ,Often ,Significantly ,Facebook ,Sometimes ,Moderately 
Below 18,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes ,Often ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Often ,Always ,Moderately ,Facebook ,Always ,Significantly 
Below 18,Male ,Less than 1 hour ,Rarely ,Not at all ,Rarely ,Rarely ,Moderately ,Not at all ,Rarely ,Rarely ,Rarely ,Sometimes ,Often ,Sometimes ,Not at all ,Snapchat ,Rarely ,Moderately 
25–34,Male ,More than 3 hours ,Always ,Significantly ,Often ,Always ,Significantly ,Significantly ,Often ,Often ,Often ,Always ,Often ,Always ,Significantly ,Facebook ,Often ,Significantly 
25–34,Female ,More than 3 hours ,Often ,Slightly ,Sometimes ,Always ,Moderately ,Significantly ,Often ,Often ,Always ,Often ,Often ,Always ,Moderately ,Twitter ,Always ,Moderately 
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often ,Sometimes ,Slightly ,Moderately ,Always ,Often ,Often ,Often ,Often ,Rarely ,Moderately ,Facebook ,Rarely ,Moderately 
18–24,Male ,1–3 hours ,Always ,Moderately ,Often ,Always ,Significantly ,Moderately ,Always ,Often ,Always ,Always ,Always ,Always ,Moderately ,Facebook ,Often ,Moderately 
25–34,Female ,More than 3 hours ,Sometimes ,Slightly ,Rarely ,Sometimes ,Slightly ,Not at all ,Rarely ,Sometimes ,Rarely ,Rarely ,Sometimes ,Rarely ,Moderately ,Facebook ,Often ,Slightly 
18–24,Male ,1–3 hours ,Often ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Moderately ,TikTok ,Sometimes ,Slightly 
Below 18,Female ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Rarely ,Slightly ,Instagram ,Sometimes ,Slightly 
Below 18,Female ,More than 3 hours ,Always ,Moderately ,Always ,Always ,Moderately ,Significantly ,Always ,Always ,Always ,Always ,Always ,Often ,Significantly ,TikTok ,Rarely ,Moderately 
18–24,Male ,1–3 hours ,Always ,Significantly ,Always ,Often ,Significantly ,Significantly ,Often ,Often ,Always ,Always ,Always ,Often ,Moderately ,YouTube ,Often ,Significantly 
18–24,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,LinkedIn ,Sometimes ,Slightly 
18–24,Female ,1–3 hours ,Often ,Significantly ,Always ,Always ,Moderately ,Significantly ,Always ,Often ,Often ,Often ,Always ,Often ,Significantly ,Instagram ,Always ,Moderately 
25–34,Female ,1–3 hours ,Sometimes ,Moderately ,Sometimes ,Rarely ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,YouTube ,Sometimes ,Slightly 
Below 18,Female ,Less than 1 hour ,Rarely ,Not at all ,Often ,Rarely ,Slightly ,Moderately ,Often ,Often ,Rarely ,Always ,Always ,Always ,Not at all ,YouTube ,Always ,Slightly 
25–34,Female ,Less than 1 hour ,Rarely ,Not at all ,Sometimes ,Rarely ,Slightly ,Moderately ,Often ,Often ,Often ,Sometimes ,Sometimes ,Sometimes ,Significantly ,Facebook ,Sometimes ,Slightly 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often ,Often ,Significantly ,Significantly ,Often ,Often ,Often ,Often ,Sometimes ,Often ,Moderately ,Facebook ,Often ,Moderately 
18–24,Female ,More than 3 hours ,Often ,Slightly ,Often ,Often ,Moderately ,Slightly ,Often ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Often ,Moderately ,Facebook ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Always ,Always ,Significantly ,Facebook ,Rarely ,Significantly 
Below 18,Male ,More than 3 hours ,Often ,Slightly ,Often ,Sometimes ,Moderately ,Moderately ,Sometimes ,Sometimes ,Always ,Often ,Sometimes ,Sometimes ,Slightly ,Instagram ,Sometimes ,Significantly 
25–34,Female ,More than 3 hours ,Often ,Slightly ,Sometimes ,Always ,Moderately ,Significantly ,Often ,Often ,Always ,Often ,Often ,Always ,Moderately ,Twitter ,Always ,Moderately 
18–24,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes ,Rarely ,Slightly ,Slightly ,Rarely ,Sometimes ,Sometimes ,Sometimes ,Often ,Rarely ,Moderately ,Facebook ,Sometimes ,Slightly 
18–24,Male ,1–3 hours ,Rarely ,Significantly ,Often ,Often ,Significantly ,Significantly ,Often ,Sometimes ,Sometimes ,Sometimes ,Often ,Often ,Moderately ,Facebook ,Often ,Moderately 
18–24,Male ,More than 3 hours ,Sometimes ,Significantly ,Often ,Sometimes ,Moderately ,Slightly ,Often ,Often ,Always ,Always ,Always ,Often ,Significantly ,Twitter ,Often ,Slightly 
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Often ,Sometimes ,Not at all ,Not at all ,Sometimes ,Rarely ,Sometimes ,Rarely ,Sometimes ,Sometimes ,Moderately ,YouTube ,Often ,Not at all 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Sometimes ,Sometimes ,Moderately ,Moderately ,Sometimes ,Sometimes ,Rarely ,Often ,Often ,Sometimes ,Significantly ,Facebook ,Sometimes ,Significantly 
18–24,Female ,More than 3 hours ,Sometimes ,Significantly ,Often ,Sometimes ,Moderately ,Moderately ,Sometimes ,Sometimes ,Often ,Sometimes ,Often ,Often ,Moderately ,Facebook ,Sometimes ,Moderately 
18–24,Male ,More than 3 hours ,Sometimes ,Significantly ,Sometimes ,Often ,Moderately ,Moderately ,Often ,Often ,Sometimes ,Often ,Often ,Often ,Significantly ,Facebook ,Sometimes ,Significantly 
18–24,Male ,1–3 hours ,Often ,Significantly ,Always ,Often ,Significantly ,Significantly ,Sometimes ,Often ,Always ,Always ,Often ,Often ,Significantly ,Facebook ,Often ,Significantly 
18–24,Male ,1–3 hours ,Rarely ,Slightly ,Sometimes ,Rarely ,Slightly ,Slightly ,Sometimes ,Rarely ,Sometimes ,Rarely ,Always ,Rarely ,Significantly ,Facebook ,Always ,Moderately 
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Always ,Always ,Often ,Always ,Significantly ,Facebook ,Always ,Significantly 
25–34,Female ,Less than 1 hour ,Rarely ,Not at all ,Rarely ,Sometimes ,Slightly ,Slightly ,Sometimes ,Rarely ,Sometimes ,Rarely ,Always ,Sometimes ,Moderately ,Facebook ,Often ,Significantly 
18–24,Female ,Less than 1 hour ,Sometimes ,Moderately ,Often ,Rarely ,Slightly ,Significantly ,Often ,Sometimes ,Often ,Often ,Often ,Often ,Significantly ,YouTube ,Rarely ,Significantly 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Often ,Often ,Moderately ,Facebook ,Often ,Slightly 
18–24,Male ,More than 3 hours ,Sometimes ,Moderately ,Often ,Always ,Moderately ,Significantly ,Always ,Always ,Often ,Often ,Often ,Often ,Moderately ,Facebook ,Often ,Moderately 
Below 18,Male ,Less than 1 hour ,Rarely ,Not at all ,Rarely ,Rarely ,Not at all ,Not at all ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Rarely ,Not at all ,Twitter ,Rarely ,Not at all 
18–24,Male ,Less than 1 hour ,Rarely ,Not at all ,Rarely ,Rarely ,Not at all ,Not at all ,Rarely ,Rarely ,Sometimes ,Rarely ,Often ,Rarely ,Not at all ,Facebook ,Rarely ,Not at all 
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often ,Often ,Significantly ,Significantly ,Often ,Often ,Often ,Often ,Often ,Often ,Significantly ,Facebook ,Sometimes ,Moderately 
18–24,Male ,1–3 hours ,Sometimes ,Significantly ,Often ,Sometimes ,Moderately ,Significantly ,Sometimes ,Sometimes ,Sometimes ,Often ,Sometimes ,Sometimes ,Significantly ,Facebook ,Sometimes ,Moderately 
18–24,Male ,More than 3 hours ,Sometimes ,Slightly ,Rarely ,Sometimes ,Not at all ,Slightly ,Rarely ,Often ,Often ,Rarely ,Sometimes ,Sometimes ,Slightly ,Facebook ,Rarely ,Not at all 
25–34,Male ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Rarely ,Not at all ,Slightly ,Rarely ,Sometimes ,Rarely ,Rarely ,Sometimes ,Rarely ,Not at all ,LinkedIn ,Rarely ,Not at all 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Always ,Always ,Significantly ,Facebook ,Always ,Significantly 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Always ,Always ,Often ,Always ,Sometimes ,Often ,Slightly ,YouTube ,Often ,Significantly 
18–24,Female ,1–3 hours ,Rarely ,Slightly ,Sometimes ,Sometimes ,Not at all ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,Instagram ,Sometimes ,Slightly 
Below 18,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Always ,Always ,Significantly ,Others ,Always ,Significantly 
18–24,Female ,More than 3 hours ,Often ,Slightly ,Often ,Often ,Slightly ,Slightly ,Sometimes ,Often ,Often ,Often ,Often ,Sometimes ,Moderately ,TikTok ,Sometimes ,Slightly 
18–24,Male ,1–3 hours ,Always ,Significantly ,Often ,Often ,Moderately ,Significantly ,Often ,Always ,Often ,Often ,Always ,Often ,Moderately ,Snapchat ,Often ,Moderately 
25–34,Male ,Less than 1 hour ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Often ,Often ,Always ,Always ,Always ,Often ,Significantly ,YouTube ,Always ,Moderately 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Sometimes ,Often ,Often ,Always ,Often ,Always ,Significantly ,Facebook ,Often ,Significantly 
18–24,Female ,More than 3 hours ,Often ,Slightly ,Sometimes ,Rarely ,Slightly ,Moderately ,Sometimes ,Rarely ,Sometimes ,Rarely ,Sometimes ,Rarely ,Moderately ,Facebook ,Often ,Slightly 
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Moderately ,Slightly ,Rarely ,Sometimes ,Sometimes ,Sometimes ,Often ,Often ,Moderately ,LinkedIn ,Often ,Slightly 
25–34,Female ,1–3 hours ,Always ,Moderately ,Always ,Often ,Significantly ,Significantly ,Often ,Always ,Always ,Often ,Often ,Always ,Moderately ,YouTube ,Always ,Significantly 
18–24,Female ,1–3 hours ,Always ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Often ,Often ,Moderately ,Facebook ,Often ,Moderately 
Below 18,Female ,1–3 hours ,Often ,Moderately ,Often ,Often ,Moderately ,Moderately ,Always ,Always ,Always ,Often ,Always ,Always ,Significantly ,Instagram ,Often ,Moderately 
25–34,Male ,More than 3 hours ,Sometimes ,Significantly ,Often ,Often ,Significantly ,Moderately ,Often ,Often ,Often ,Often ,Sometimes ,Sometimes ,Slightly ,Facebook ,Sometimes ,Slightly 
18–24,Female ,More than 3 hours ,Often ,Slightly ,Sometimes ,Rarely ,Slightly ,Moderately ,Sometimes ,Rarely ,Sometimes ,Rarely ,Sometimes ,Rarely ,Moderately ,Facebook ,Often ,Slightly 
18–24,Female ,Less than 1 hour ,Rarely ,Not at all ,Rarely ,Sometimes ,Slightly ,Not at all ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,Instagram ,Sometimes ,Slightly 
25–34,Male ,Less than 1 hour ,Sometimes ,Slightly ,Rarely ,Sometimes ,Slightly ,Slightly ,Often ,Sometimes ,Often ,Sometimes ,Often ,Always ,Moderately ,Facebook ,Sometimes ,Significantly 
Below 18,Male ,More than 3 hours ,Often ,Slightly ,Often ,Sometimes ,Moderately ,Moderately ,Sometimes ,Sometimes ,Always ,Often ,Sometimes ,Sometimes ,Slightly ,Instagram ,Sometimes ,Significantly 
25–34,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Sometimes ,Rarely ,Slightly ,Others ,Rarely ,Slightly 
25–34,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Moderately ,Sometimes ,Sometimes ,Rarely ,Sometimes ,Sometimes ,Sometimes ,Slightly ,Twitter ,Sometimes ,Slightly 
25–34,Male ,Less than 1 hour ,Sometimes ,Not at all ,Rarely ,Rarely ,Slightly ,Slightly ,Rarely ,Sometimes ,Rarely ,Rarely ,Often ,Rarely ,Slightly ,Facebook ,Rarely ,Slightly 
Below 18,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Often ,Always ,Always ,Often ,Sometimes ,Always ,Significantly ,YouTube ,Often ,Significantly 
18–24,Male ,1–3 hours ,Rarely ,Slightly ,Sometimes ,Rarely ,Slightly ,Slightly ,Sometimes ,Rarely ,Sometimes ,Rarely ,Always ,Rarely ,Significantly ,Facebook ,Always ,Moderately 
25–34,Female ,1–3 hours ,Sometimes ,Moderately ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Not at all ,YouTube ,Rarely ,Slightly 
18–24,Female ,Less than 1 hour ,Rarely ,Slightly ,Rarely ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Rarely ,Slightly ,Instagram ,Sometimes ,Slightly 
18–24,Female ,1–3 hours ,Often ,Slightly ,Sometimes ,Often ,Slightly ,Slightly ,Sometimes ,Sometimes ,Often ,Sometimes ,Often ,Rarely ,Moderately ,Facebook ,Sometimes ,Moderately 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Often ,Often ,Moderately ,Facebook ,Often ,Moderately 
18–24,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Q15. How often do you try to limit social media usage during study sessions?,Sometimes ,Slightly ,LinkedIn ,Rarely ,Slightly 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often ,Always ,Significantly ,Significantly ,Always ,Always ,Often ,Always ,Often ,Often ,Significantly ,Snapchat ,Often ,Moderately 
18–24,Female ,1–3 hours ,Often ,Moderately ,Always ,Always ,Moderately ,Significantly ,Often ,Often ,Always ,Always ,Often ,Always ,Significantly ,YouTube ,Often ,Significantly 
18–24,Female ,1–3 hours ,Often ,Moderately ,Always ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Sometimes ,Sometimes ,Significantly ,Facebook ,Always ,Moderately 
18–24,Other ,More than 3 hours ,Often ,Moderately ,Sometimes ,Sometimes ,Slightly ,Slightly ,Often ,Often ,Sometimes ,Often ,Sometimes ,Sometimes ,Slightly ,LinkedIn ,Often ,Slightly 
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Slightly ,Moderately ,Often ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Often ,Slightly ,LinkedIn ,Often ,Moderately 
25–34,Male ,More than 3 hours ,Always ,Significantly ,Often ,Often ,Significantly ,Significantly ,Often ,Often ,Often ,Always ,Often ,Often ,Significantly ,Facebook ,Sometimes ,Significantly 
25–34,Female ,1–3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Rarely ,Rarely ,Sometimes ,Sometimes ,Slightly ,Snapchat ,Sometimes ,Slightly 
18–24,Male ,1–3 hours ,Sometimes ,Slightly ,Often ,Sometimes ,Slightly ,Moderately ,Sometimes ,Sometimes ,Often ,Sometimes ,Often ,Sometimes ,Moderately ,Instagram ,Sometimes ,Not at all 
18–24,Male ,1–3 hours ,Often ,Significantly ,Often ,Sometimes ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Always ,Always ,Significantly ,Instagram ,Always ,Significantly 
25–34,Female ,1–3 hours ,Always ,Significantly ,Always ,Sometimes ,Significantly ,Significantly ,Rarely ,Sometimes ,Often ,Always ,Sometimes ,Sometimes ,Moderately ,YouTube ,Always ,Significantly 
25–34,Male ,1–3 hours ,Often ,Slightly ,Sometimes ,Rarely ,Not at all ,Moderately ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Often ,Slightly ,Snapchat ,Sometimes ,Not at all 
18–24,Female ,1–3 hours ,Often ,Slightly ,Sometimes ,Rarely ,Slightly ,Slightly ,Sometimes ,Rarely ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,Facebook ,Sometimes ,Slightly 
18–24,Male ,1–3 hours ,Rarely ,Slightly ,Sometimes ,Rarely ,Slightly ,Slightly ,Sometimes ,Rarely ,Sometimes ,Rarely ,Always ,Rarely ,Significantly ,Facebook ,Always ,Moderately 
18–24,Female ,Less than 1 hour ,Sometimes ,Moderately ,Often ,Rarely ,Slightly ,Significantly ,Often ,Sometimes ,Often ,Often ,Often ,Often ,Significantly ,YouTube ,Rarely ,Significantly 
18–24,Male ,1–3 hours ,Rarely ,Not at all ,Rarely ,Rarely ,Not at all ,Significantly ,Always ,Always ,Always ,Always ,Always ,Rarely ,Significantly ,Facebook ,Rarely ,Significantly 
18–24,Male ,1–3 hours ,Often ,Significantly ,Often ,Sometimes ,Moderately ,Significantly ,Often ,Always ,Always ,Always ,Always ,Always ,Moderately ,YouTube ,Often ,Moderately 
18–24,Male ,1–3 hours ,Rarely ,Slightly ,Rarely ,Often ,Moderately ,Slightly ,Always ,Sometimes ,Rarely ,Sometimes ,Sometimes ,Rarely ,Slightly ,Facebook ,Sometimes ,Moderately 
25–34,Male ,1–3 hours ,Sometimes ,Slightly ,Rarely ,Rarely ,Moderately ,Moderately ,Rarely ,Sometimes ,Often ,Often ,Rarely ,Sometimes ,Slightly ,Twitter ,Always ,Significantly 
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Always ,Always ,Often ,Always ,Significantly ,Facebook ,Always ,Significantly 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Often ,Always ,Always ,Always ,Often ,Often ,Moderately ,Facebook ,Sometimes ,Significantly 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Often ,Always ,Significantly ,Significantly ,Always ,Often ,Often ,Often ,Sometimes ,Often ,Significantly ,Facebook ,Often ,Significantly 
18–24,Male ,Less than 1 hour ,Always ,Significantly ,Always ,Often ,Significantly ,Moderately ,Often ,Always ,Always ,Often ,Often ,Always ,Slightly ,Facebook ,Always ,Significantly 
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Significantly ,Moderately ,Always ,Always ,Always ,Always ,Often ,Always ,Significantly ,Instagram ,Always ,Significantly 
18–24,Female ,1–3 hours ,Often ,Moderately ,Always ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Sometimes ,Sometimes ,Significantly ,Facebook ,Always ,Moderately 
18–24,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Always ,Often ,Significantly ,Facebook ,Sometimes ,Significantly 
18–24,Male ,1–3 hours ,Rarely ,Not at all ,Rarely ,Rarely ,Not at all ,Significantly ,Always ,Always ,Always ,Always ,Always ,Rarely ,Significantly ,Facebook ,Rarely ,Significantly 
Below 18,Male ,More than 3 hours ,Sometimes ,Moderately ,Sometimes ,Often ,Significantly ,Significantly ,Always ,Always ,Always ,Always ,Often ,Always ,Moderately ,Facebook ,Always ,Significantly 
Below 18,Other ,More than 3 hours ,Sometimes ,Moderately ,Sometimes ,Often ,Moderately ,Slightly ,Always ,Often ,Always ,Often ,Always ,Often ,Significantly ,TikTok ,Often ,Significantly 
18–24,Male ,More than 3 hours ,Often ,Significantly ,Always ,Always ,Significantly ,Significantly ,Often ,Often ,Often ,Always ,Often ,Always ,Significantly ,Instagram ,Always ,Significantly 
18–24,Female ,More than 3 hours ,Often ,Significantly ,Often ,Often ,Significantly ,Significantly ,Always ,Often ,Often ,Always ,Often ,Always ,Significantly ,TikTok ,Often ,Moderately 
Below 18,Male ,More than 3 hours ,Always ,Significantly ,Always ,Always ,Significantly ,Significantly ,Always ,Always ,Often ,Always ,Always ,Often ,Significantly ,Facebook ,Often ,Significantly 
18–24,Male ,More than 3 hours ,Sometimes ,Significantly ,Often ,Sometimes ,Significantly ,Moderately ,Sometimes ,Rarely ,Rarely ,Rarely ,Rarely ,Sometimes ,Significantly ,Facebook ,Rarely ,Moderately 
18–24,Male ,1–3 hours ,Sometimes ,Moderately ,Sometimes ,Sometimes ,Slightly ,Slightly ,Often ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Significantly ,YouTube ,Sometimes ,Slightly 
25–34,Male ,1–3 hours ,Sometimes ,Significantly ,Always ,Always ,Slightly ,Significantly ,Always ,Sometimes ,Sometimes ,Often ,Sometimes ,Often ,Significantly ,Facebook ,Sometimes ,Significantly 
18–24,Male ,1–3 hours ,Always ,Moderately ,Often ,Always ,Significantly ,Moderately ,Always ,Often ,Always ,Always ,Always ,Always ,Moderately ,Facebook ,Often ,Moderately 
18–24,Female ,More than 3 hours ,Often ,Significantly ,Always ,Always ,Significantly ,Significantly ,Often ,Often ,Often ,Always ,Often ,Sometimes ,Significantly ,Facebook ,Often ,Significantly 
Below 18,Female ,More than 3 hours ,Always ,Moderately ,Always ,Always ,Moderately ,Significantly ,Always ,Always ,Always ,Always ,Always ,Often ,Significantly ,TikTok ,Rarely ,Moderately 
18–24,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Often ,Often ,Often ,Often ,Sometimes ,Sometimes ,Moderately ,YouTube ,Always ,Significantly 
18–24,Male ,More than 3 hours ,Often ,Moderately ,Often ,Often ,Moderately ,Moderately ,Often ,Often ,Often ,Often ,Often ,Often ,Moderately ,TikTok ,Often ,Slightly 
25–34,Female ,More than 3 hours ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Rarely ,Sometimes ,Rarely ,Slightly ,Others ,Rarely ,Slightly 
18–24,Male ,Less than 1 hour ,Sometimes ,Slightly ,Sometimes ,Sometimes ,Slightly ,Slightly ,Rarely ,Sometimes ,Sometimes ,Sometimes ,Often ,Sometimes ,Moderately ,YouTube ,Sometimes ,Slightly 
18–24,Female ,More than 3 hours ,Often ,Moderately ,Often ,Always ,Significantly ,Significantly ,Often ,Often ,Often ,Often ,Often ,Often ,Moderately ,Instagram ,Often ,Significantly 
Below 18,Female ,Less than 1 hour ,Always ,Moderately ,Sometimes ,Often ,Not at all ,Significantly ,Rarely ,Sometimes ,Often ,Always ,Always ,Rarely ,Slightly ,TikTok ,Sometimes ,Significantly 
18–24,Female ,1–3 hours ,Often ,Slightly ,Rarely ,Rarely ,Not at all ,Not at all ,Rarely ,Rarely ,Sometimes ,Sometimes ,Always ,Often ,Not at all ,Instagram ,Rarely ,Moderately 
25–34,Female ,1–3 hours ,Sometimes ,Moderately ,Sometimes ,Rarely ,Slightly ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Slightly ,YouTube ,Sometimes ,Slightly 
Below 18,Male ,Less than 1 hour ,Sometimes ,Slightly ,Often ,Rarely ,Not at all ,Slightly ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Sometimes ,Often ,Slightly ,Facebook ,Sometimes ,Slightly 
